modelId;mean;var;SD;valueCount
*Claude 3.5 Haiku;0.94;0.04;0.2;380
*Claude 3.5 Sonnet;0.94;0.04;0.21;380
*Qwen-2.5-Coder-32B;0.93;0.05;0.22;950
*GPT4o 2024/11;0.91;0.05;0.22;380
GPTo1-pre 2024/09;0.91;0.06;0.25;380
Qwen-2.5-72B;0.91;0.06;0.25;950
*Gemini 1.5 Pro;0.9;0.07;0.27;380
Deepseek-R1;0.9;0.07;0.27;950
Gemini 1.5 Flash;0.9;0.08;0.28;380
Qwen-3-235B;0.89;0.08;0.28;948
GPTo1-mini 2024/09;0.89;0.07;0.27;380
Llama-3.1-70B;0.89;0.07;0.27;950
Llama-4-Maverick;0.87;0.08;0.29;950
Deepseek-Chat-v3;0.87;0.08;0.29;950
GPT4o-mini 2024/07;0.87;0.08;0.29;380
Llama-3.0-70B;0.86;0.09;0.3;946
Llama-3.3-70B;0.85;0.09;0.31;950
Qwen-2.0-72B;0.85;0.09;0.3;870
Gemini 2.0 Flash Exp;0.85;0.09;0.31;380
Qwen-2.5-14B;0.81;0.12;0.34;950
Qwen-2.5-32B;0.81;0.12;0.35;950
GPT3.5 2024/01;0.8;0.12;0.34;380
Phi-3.5-MoE;0.74;0.12;0.35;838
Qwen-2.5-7B;0.73;0.15;0.39;950
Deepseek-Coder-33B;0.73;0.15;0.38;878
Qwen-2-57B-A14B;0.7;0.17;0.41;950
Qwen-2.0-7B;0.58;0.21;0.46;950
Qwen-2.5-3B;0.57;0.2;0.44;946
OpenCoder-8B;0.55;0.21;0.45;950
Phi-3.0-medium-128k;0.5;0.19;0.44;882
Phi-3.5-mini;0.49;0.19;0.44;926
Llama-3.1-8B;0.42;0.2;0.44;942
Llama-3.0-8B;0.41;0.19;0.44;942
Phi-3.0-mini-128k;0.39;0.16;0.41;934
Phi-3.0-small-128k;0.39;0.18;0.43;946
Qwen-2.5-1.5B;0.32;0.17;0.41;830
Llama-3.2-3B;0.23;0.13;0.36;840
Qwen-2.0-1.5B;0.2;0.11;0.34;930
Qwen-2.5-0.5B;0.11;0.07;0.27;942
Llama-3.2-1B;0.03;0.02;0.14;946
Qwen-2.0-0.5B;0.01;0.01;0.1;950
